source,external_id,name,name_lang,name_en,synonyms,serving_amount,serving_unit,carbs_g,protein_g,fats_g,kcal,dataset_version
ciqual,1000,Pastis,fr,Pastis (anise-flavoured spirit),eaux et autres boissons beverages,100,g,2.86,0,0,274,ciqual-2025-11-03
ciqual,10000,"Bigorneau, cuit",fr,"Winkle, cooked","Littorina littorea viandes, oeufs, poissons meat, egg and fish",100,g,3.01,16.3,3.5,109,ciqual-2025-11-03
ciqual,10001,"Calmar ou calamar ou encornet, cru",fr,"Squid, raw","Loligo vulgaris viandes, oeufs, poissons meat, egg and fish",100,g,2.17,14.4,1.19,77,ciqual-2025-11-03
ciqual,10002,"Calmar ou calamar ou encornet, à la romaine (beignet), préemballé",fr,"Squid fritter, Roman-style, prepacked","Loligo vulgaris viandes, oeufs, poissons meat, egg and fish",100,g,26.7,8.69,9.5,229,ciqual-2025-11-03
ciqual,10003,"Coquille Saint-Jacques, noix et corail, crue",fr,"Scallop, with coral, raw","(Genus and species unknown or multiple) viandes, oeufs, poissons meat, egg and fish",100,g,0.78,17,1.31,83,ciqual-2025-11-03
ciqual,10004,"Coquille Saint-Jacques, noix et corail, cuite",fr,"Scallop, with coral, cooked","(Genus and species unknown or multiple) viandes, oeufs, poissons meat, egg and fish",100,g,3.22,20.2,1.77,110,ciqual-2025-11-03
ciqual,10005,"Crabe, miettes et ou pattes décortiquées, appertisé, égoutté",fr,"Flaked crab and/or decorticated crab leg, canned, drained","(Genus and species unknown or multiple) viandes, oeufs, poissons meat, egg and fish",100,g,4.16,18.1,0.96,97.8,ciqual-2025-11-03
ciqual,10006,"Crevette grise, cuite",fr,"Grey shrimp, boiled","Crangon crangon viandes, oeufs, poissons meat, egg and fish",100,g,0.47,19.4,1.1,89.4,ciqual-2025-11-03
ciqual,10007,"Crevette, cuite",fr,"Shrimp or prawn, boiled","(Genus and species unknown or multiple) viandes, oeufs, poissons meat, egg and fish",100,g,0.2,20.5,0.79,91.3,ciqual-2025-11-03
ciqual,10008,"Escargot, cru",fr,"Snail, raw","Helix spp. viandes, oeufs, poissons meat, egg and fish",100,g,1.29,16.1,0.92,77.9,ciqual-2025-11-03
ciqual,10009,"Homard, bouilli/cuit à l'eau",fr,"Lobster, boiled/cooked in water","Homarus gammarus or Homarus americanus viandes, oeufs, poissons meat, egg and fish",100,g,0.11,19.6,1.32,90.9,ciqual-2025-11-03
ciqual,1001,Eau de vie de fruits,fr,Fruit brandy or eau-de-vie,eaux et autres boissons beverages,100,g,0.63,0,0,233,ciqual-2025-11-03
ciqual,10010,"Homard, cru",fr,"Lobster, raw","Homarus gammarus or Homarus americanus viandes, oeufs, poissons meat, egg and fish",100,g,0.94,17.9,1.15,85.5,ciqual-2025-11-03
ciqual,10011,"Huître, sans précision, crue",fr,"Oyster, raw","Crassostrea spp. viandes, oeufs, poissons meat, egg and fish",100,g,3.86,8.64,1.91,67.2,ciqual-2025-11-03
ciqual,10012,"Langoustine, panée, frite",fr,"Norway lobster or scampi, breaded, fried","Nephros norvegicus (Linnaeus, 1758) viandes, oeufs, poissons meat, egg and fish",100,g,29,10.9,13.6,282,ciqual-2025-11-03
ciqual,10013,"Moule, bouillie/cuite à l'eau",fr,"Mussel, boiled/cooked in water","Mytilus spp. viandes, oeufs, poissons meat, egg and fish",100,g,5.12,17.2,2.09,108,ciqual-2025-11-03
ciqual,10014,"Moule commune, crue",fr,"Mussel, common, raw","Mytilus edulis viandes, oeufs, poissons meat, egg and fish",100,g,2.69,11.2,1.82,71.8,ciqual-2025-11-03
ciqual,10015,"Langouste, crue",fr,"Spiny lobster, raw","Panulirus spp., Palinurus spp. viandes, oeufs, poissons meat, egg and fish",100,g,1.07,17.7,1.34,86.9,ciqual-2025-11-03
ciqual,10016,"Seiche, crue",fr,"Cuttlefish, raw","Sepia spp. viandes, oeufs, poissons meat, egg and fish",100,g,0.51,16.2,1.05,76.3,ciqual-2025-11-03
ciqual,10017,"Clam, praire ou palourde, cru",fr,"Clam, raw","Ruditapes decussatus or Mercenaria spp. or Venus verrucosa viandes, oeufs, poissons meat, egg and fish",100,g,2.66,11.5,2.65,80.5,ciqual-2025-11-03
ciqual,10018,"Poulpe, cru",fr,"Octopus, common, raw","Octopus vulgaris viandes, oeufs, poissons meat, egg and fish",100,g,0.97,12.9,0.5,60.1,ciqual-2025-11-03
ciqual,10019,"Bulot ou buccin, cru",fr,"Whelk, raw","Buccinum undatum viandes, oeufs, poissons meat, egg and fish",100,g,7.61,23.8,0.57,131,ciqual-2025-11-03
ciqual,1002,Gin,fr,Gin,eaux et autres boissons beverages,100,g,0,0,0,265,ciqual-2025-11-03
ciqual,10020,"Bulot ou buccin, cuit",fr,"Whelk, cooked","Buccinum undatum viandes, oeufs, poissons meat, egg and fish",100,g,2.69,20.7,0.47,97.7,ciqual-2025-11-03
ciqual,10021,"Crevette, crue",fr,"Shrimp or prawn, raw","(Genus and species unknown or multiple) viandes, oeufs, poissons meat, egg and fish",100,g,3.21,19.7,0.84,99,ciqual-2025-11-03
ciqual,10022,"Langouste, bouillie/cuite à l'eau",fr,"Spiny lobster, boiled/cooked in water","Panulirus spp., Palinurus spp. viandes, oeufs, poissons meat, egg and fish",100,g,1.3,21.8,1.52,106,ciqual-2025-11-03
ciqual,10023,Beignet de crevette,fr,Shrimp fritters,"(Genus and species unknown or multiple) viandes, oeufs, poissons meat, egg and fish",100,g,35.5,6.5,10,260,ciqual-2025-11-03
ciqual,10024,"Langoustine, crue",fr,"Norway lobster, raw","Nephros norvegicus (Linnaeus, 1758) viandes, oeufs, poissons meat, egg and fish",100,g,1.53,19.1,0.79,89.8,ciqual-2025-11-03
ciqual,10025,"Crabe ou tourteau, bouilli/cuit à l'eau",fr,"Crab, boiled/cooked in water","Cancer pagurus viandes, oeufs, poissons meat, egg and fish",100,g,1.79,19.5,4.29,124,ciqual-2025-11-03
ciqual,10026,"Moule de Méditerranée, crue",fr,"Mediterranean mussel, raw","Mytilus galloprovincialis viandes, oeufs, poissons meat, egg and fish",100,g,2.77,10.7,1.67,68.7,ciqual-2025-11-03
ciqual,10027,"Clam, praire ou palourde, bouilli/cuit à l'eau",fr,"Clam, boiled/cooked in water","Ruditapes decussatus or Mercenaria spp. Or Venus verrucosa viandes, oeufs, poissons meat, egg and fish",100,g,5.33,16.2,1.48,99.2,ciqual-2025-11-03
ciqual,10028,"Moules, au naturel, appertisées, égouttées",fr,"Mussel, canned in brine, drained","Mytilus spp. viandes, oeufs, poissons meat, egg and fish",100,g,2.6,16.1,2.1,97.6,ciqual-2025-11-03
ciqual,1003,Liqueur,fr,Liqueur,eaux et autres boissons beverages,100,g,25.4,0.1,0.23,225,ciqual-2025-11-03
ciqual,10030,"Écrevisse, crue",fr,"Crayfish, raw","(Genus and species unknown or multiple) viandes, oeufs, poissons meat, egg and fish",100,g,0.81,14.8,0.64,68.3,ciqual-2025-11-03
ciqual,10031,"Écrevisse, cuite",fr,"Crayfish, cooked","(Genus and species unknown or multiple) viandes, oeufs, poissons meat, egg and fish",100,g,0.56,16.3,0.7,73.5,ciqual-2025-11-03
ciqual,10033,"Crevette bouquet, sauvage, cuite",fr,"Prawn, ""bouquet"", wild, boiled","Palaemon serratus viandes, oeufs, poissons meat, egg and fish",100,g,0,22.8,1.27,103,ciqual-2025-11-03
ciqual,10034,"Coque, cuite",fr,"Cockle, cooked","Cerastoderma edule or Cerastoderma glaucum viandes, oeufs, poissons meat, egg and fish",100,g,5.64,13.6,1.1,86.9,ciqual-2025-11-03
ciqual,10035,"Huître creuse, crue",fr,"Pacific oyster, raw","Crassostrea gigas viandes, oeufs, poissons meat, egg and fish",100,g,3.86,8.64,1.91,67.2,ciqual-2025-11-03
ciqual,10036,"Huître plate, crue",fr,"European oyster, raw","Ostrea edulis viandes, oeufs, poissons meat, egg and fish",100,g,1.16,10.2,0.9,53.5,ciqual-2025-11-03
ciqual,10037,"Calmar ou calamar ou encornet, bouilli/cuit à l'eau",fr,"Squid, boiled/cooked in water","Loligo vulgaris viandes, oeufs, poissons meat, egg and fish",100,g,1.64,32.5,1.4,149,ciqual-2025-11-03
ciqual,10038,"Crevette, surgelée, crue",fr,"Shrimp or prawn, frozen, raw","(Genus and species unknown or multiple) viandes, oeufs, poissons meat, egg and fish",100,g,0.74,23.4,0.9,105,ciqual-2025-11-03
ciqual,10039,"Crabe, cru",fr,"Crab, raw","(Genus and species unknown or multiple) viandes, oeufs, poissons meat, egg and fish",100,g,0.027,19.5,2.86,104,ciqual-2025-11-03
ciqual,1004,Rhum,fr,Rum,eaux et autres boissons beverages,100,g,0,0,0,234,ciqual-2025-11-03
ciqual,10041,"Ormeau, cru",fr,"Abalone or ormer or sea ear, raw","Strombus gigas viandes, oeufs, poissons meat, egg and fish",100,g,8.69,14.4,0.83,99.6,ciqual-2025-11-03
ciqual,10042,"Escargot en sauce au beurre persillé, préemballé, cuit",fr,"Snail in parsley butter, prepacked, cooked","Helix spp. viandes, oeufs, poissons meat, egg and fish",100,g,1.75,12.9,23.7,275,ciqual-2025-11-03
ciqual,10043,Fruits de mer (aliment moyen),fr,Crustacean or mollusc (average),"viandes, oeufs, poissons meat, egg and fish",100,g,2.47,19.5,1.66,103,ciqual-2025-11-03
