source,external_id,name,name_lang,name_en,synonyms,serving_amount,serving_unit,carbs_g,protein_g,fats_g,kcal,dataset_version
cofid,11-001,Arrowroot,en,,2 samples from different shops AA,100,g,94,0.4,0.1,355,cofid-2021
cofid,11-002,"Barley, pearl, raw",en,,2 samples from different shops; literature sources AA,100,g,83.6,7.9,1.7,360,cofid-2021
cofid,11-003,"Barley, pearl, boiled",en,,"2 samples from different shops, boiled in water AA",100,g,27.6,2.7,0.6,120,cofid-2021
cofid,11-006,"Buckwheat, groats",en,,Literature sources AA,100,g,84.9,8.1,1.5,364,cofid-2021
cofid,11-011,"Cornmeal, sifted",en,,Analytical and literature sources AA,100,g,73.1,9.4,3.3,368,cofid-2021
cofid,11-016,"Flour, millet, foxtail",en,,Literature sources AA,100,g,75.4,5.8,1.7,354,cofid-2021
cofid,11-021,"Flour, rice",en,,Literature sources AA,100,g,80.1,6.4,0.8,366,cofid-2021
cofid,11-023,"Sago, raw",en,,2 samples from different shops AA,100,g,94,0.2,0.2,355,cofid-2021
cofid,11-027,"Tapioca, raw",en,,"4 varieties, medium pearl, seed pearl, coarse and flake AA",100,g,95,0.4,0.1,359,cofid-2021
cofid,11-1000,"Stuffing, sage and onion, homemade",en,,Recipe AT,100,g,29.4,5.6,13.3,253,cofid-2021
cofid,11-1001,"Bread, white, toasted",en,,15 samples. Calculated using weight loss of 18% AF,100,g,56.2,9.7,2,267,cofid-2021
cofid,11-1003,"Bread, white, 'with added fibre'",en,,"Including Hovis Best of Both, Kingsmill 50/50 and Warburtons Half & Half Toastie AF",100,g,45.1,8.7,2.2,224,cofid-2021
cofid,11-1004,"Bread, white, 'with added fibre', toasted",en,,Calculated using weight loss of 16% AF,100,g,53.7,10.4,2.6,266,cofid-2021
cofid,11-1005,"Cake, fruit, rich, homemade",en,,Recipe AN,100,g,61.5,4,11.1,349,cofid-2021
cofid,11-1006,"Bread rolls, white, soft",en,,10 samples AF,100,g,51.5,9.3,2.6,254,cofid-2021
cofid,11-1007,"Pie, fruit, one crust, homemade",en,,"Recipe. Apple, gooseberry, plum, rhubarb AS",100,g,26.7,2.1,9.1,190,cofid-2021
cofid,11-1008,"Pie, fruit, pastry top and bottom, homemade",en,,"Recipe. Apple, gooseberry, plum, rhubarb. Ref. Wiles et al. (1980) AS",100,g,30.4,3.1,15.1,262,cofid-2021
cofid,11-1009,"Currant buns, retail",en,,"9 samples, 5 supermarkets, 3 bakeries AF",100,g,52.6,8,5.6,280,cofid-2021
cofid,11-1010,"Pastry, wholemeal, uncooked, homemade",en,,Recipe. Ref. Wiles et al. (1980) AO,100,g,42.3,7.2,25.9,421,cofid-2021
cofid,11-1011,"Pizza, fish topped, takeaway",en,,"18 samples, 8 brands, prawn and tuna toppings, includes thin base and deep pan AE",100,g,28,13.3,7.5,226,cofid-2021
cofid,11-1012,"Pizza, chicken topped, retail",en,,"9 samples, 4 brands, includes thin base and deep pan, chilled AE",100,g,31.3,13.4,8.3,246,cofid-2021
cofid,11-1013,"Pizza, ham and pineapple, retail",en,,"10 samples, 5 brands, includes thin base and deep pan AE",100,g,34.4,13.5,8.6,260,cofid-2021
cofid,11-1014,"Pizza, vegetarian, retail and takeaway",en,,"30 samples, 7 brands, includes chilled and takeaway, thin base and deep pan AE",100,g,29.6,10.8,6.9,216,cofid-2021
cofid,11-1015,"Pizza, meat topped, retail and takeaway",en,,"39 samples including pepperoni, spicy beef, spicy pork. Includes frozen, chilled and takeaway, thin base and deep pan AE",100,g,29.1,13.2,10.3,255,cofid-2021
cofid,11-1016,"Pizza base, raw",en,,"Average of ambient and chilled, 12 brands AE",100,g,57.5,7.8,4.8,290,cofid-2021
cofid,11-1017,"Pastry, shortcrust, uncooked, homemade",en,,Recipe AO,100,g,48.8,5.7,25.5,435,cofid-2021
cofid,11-1019,"Breakfast cereal, multigrain hoops, fortified",en,,Including Cheerios and own brands AI,100,g,80.7,7.9,3.8,368,cofid-2021
cofid,11-1020,"Crumble, fruit, retail",en,,"10 samples, including apple, apple and blackberry and rhubarb. Frozen and chilled AS",100,g,36,2.4,8.3,219,cofid-2021
cofid,11-1021,"Pudding, sponge, canned",en,,10 assorted samples of the same brand AS,100,g,45.4,3.1,9.1,265,cofid-2021
cofid,11-1022,"Pudding, Christmas, retail",en,,"10 samples, 4 brands AS",100,g,56.3,3,6.9,285,cofid-2021
cofid,11-1023,"Prawn crackers, takeaway",en,,10 samples from different outlets AT,100,g,58.2,0.3,39,570,cofid-2021
cofid,11-1024,"Pie, apple, one crust, homemade",en,,Recipe AS,100,g,29,1.8,9.2,198,cofid-2021
cofid,11-1025,"Pie, apple, pastry top and bottom, homemade",en,,Recipe AS,100,g,32.1,2.9,15.2,268,cofid-2021
cofid,11-1026,"Pie, apple, wholemeal, one crust, homemade",en,,Recipe AS,100,g,29.9,2.3,7.7,190,cofid-2021
cofid,11-1027,"Pie, apple, wholemeal, pastry top and bottom, homemade",en,,Recipe AS,100,g,33.6,3.6,12.7,254,cofid-2021
cofid,11-1028,"Tart, bakewell, homemade",en,,Recipe AS,100,g,40.8,6.9,30.4,454,cofid-2021
cofid,11-1029,"Banana bread, homemade",en,,Recipe AN,100,g,53.9,4.4,12.4,331,cofid-2021
cofid,11-1030,"Bannocks, made with beremeal, homemade",en,,Recipe AF,100,g,56.8,9.3,1.7,266,cofid-2021
cofid,11-1032,"Biscuits, plain, homemade",en,,Recipe AM,100,g,66,6.2,22.1,471,cofid-2021
cofid,11-1034,"Biscuits, wholemeal, homemade",en,,Recipe AM,100,g,66.6,12.7,7.5,369,cofid-2021
cofid,11-1035,"Biscuits, melting moments, homemade",en,,Recipe AM,100,g,57.8,3.4,37.1,564,cofid-2021
cofid,11-1036,"Brandy snaps, homemade",en,,Recipe AM,100,g,72.1,2.8,22.5,489,cofid-2021
cofid,11-1037,"Pudding, bread and butter, homemade",en,,Recipe AS,100,g,17,6.3,5.3,137,cofid-2021
cofid,11-1038,"Bread pudding, homemade",en,,Recipe AS,100,g,48,5.9,7.7,289,cofid-2021
cofid,11-1041,"Cake, carrot, with topping, homemade",en,,"Recipe, with topping AN",100,g,37.7,4,21.1,346,cofid-2021
cofid,11-1043,"Chelsea buns, homemade",en,,Recipe. Ref. Wiles et al. (1980) AP,100,g,57.8,7.8,12.5,361,cofid-2021
cofid,11-1044,"Cake, cherry, homemade",en,,Recipe AN,100,g,66.5,5,14.4,398,cofid-2021
cofid,11-1045,"Flour, corn",en,,"6 samples, 5 products AA",100,g,92,0.6,0.7,354,cofid-2021
cofid,11-1046,"Cake, chocolate, not filled, homemade",en,,Recipe AN,100,g,51.3,7.3,24.1,438,cofid-2021
cofid,11-1047,"Cake, chocolate, with butter icing, homemade",en,,Recipe AN,100,g,53.8,5.8,25.2,452,cofid-2021
cofid,11-1048,"Pastry, choux, uncooked, homemade",en,,Recipe AO,100,g,20.2,5.5,11.8,203,cofid-2021
cofid,11-1049,"Pastry, choux, cooked, homemade",en,,Recipe AO,100,g,31.1,8.4,18.1,313,cofid-2021
cofid,11-1050,"Choux buns, homemade",en,,Recipe AP,100,g,17.9,5.3,34.1,395,cofid-2021
cofid,11-1051,"Pudding, Christmas, homemade",en,,Recipe AS,100,g,54.6,5,9.8,316,cofid-2021
cofid,11-1052,"Pastry, shortcrust, cooked, homemade",en,,Recipe AO,100,g,57.1,6.6,29.9,509,cofid-2021
cofid,11-1053,"Cake, coconut, homemade",en,,Recipe AN,100,g,52.6,6.7,22.1,423,cofid-2021
cofid,11-1055,"Crumble, apple, homemade",en,,Recipe AS,100,g,35,1.7,6.4,201,cofid-2021
cofid,11-1056,"Crumble, fruit, homemade",en,,"Recipe, apple, plum, gooseberry, rhubarb, homemade AS",100,g,34.5,2,6.4,195,cofid-2021
cofid,11-1057,"Crumble, with pie filling, homemade",en,,Recipe AS,100,g,37.2,1.9,6.6,207,cofid-2021
cofid,11-1058,"Tart, custard, large, homemade",en,,Recipe AP,100,g,25.2,5.8,17.4,275,cofid-2021
cofid,11-1060,"Biscuits, oat based, chocolate, half coated",en,,Recipe AM,100,g,63.9,6.6,24.9,489,cofid-2021
cofid,11-1064,"Pastries, chocolate eclairs, fresh, homemade",en,,Recipe AP,100,g,38,4.1,24.7,381,cofid-2021
cofid,11-1065,"Pudding, Eve's pudding, homemade",en,,Recipe using apples only AS,100,g,31.4,3.3,13.4,252,cofid-2021
cofid,11-1066,"Flan case, pastry, homemade",en,,Recipe AS,100,g,58.9,7,30.9,527,cofid-2021
